id,latitude,longitude,timestamp,hilbert_value
ae210da468f24974ab94503b,38.7331716,-77.1916258,2020-09-23 22:10:18,20157
07d58d8cdb084b8b8d5ecd12,38.7331591,-77.1926236,2020-09-23 22:10:18,20158
063c7a5244034e48922417bf,38.7335273,-77.1923178,2020-09-23 22:10:18,20159
3bbf78b03fba43c496e974bf,38.7369503,-77.1899843,2020-09-23 22:10:18,20170
f1adf9b9ff9a4275a1b7bf52,38.7364147,-77.1899414,2020-09-23 22:10:18,20171
e88ea71e887442629601cfd4,38.7365527,-77.1900111,2020-09-23 22:10:18,20171
27643b3758a0476e883fd621,38.73531,-77.1900058,2020-09-23 22:10:18,20172
c8fb05fe51db4b188b33a9fe,38.7350045,-77.1900809,2020-09-23 22:10:18,20175
ad01cacb00904946a7a0856c,38.807761,-77.1019328,2020-12-07 22:09:08,27312
85db9874e52248febe23e594,38.8075437,-77.0990789,2020-12-07 22:09:08,38218
39178d63ec374a28a612d4d9,38.8077109,-77.1004093,2020-12-07 22:09:08,38220
84a2558ef33a4254ac22a34b,38.8070337,-77.0969761,2020-12-07 22:09:08,38258
54c574f3e0284bebaeeca3df,38.8067076,-77.0951629,2020-12-07 22:09:08,38285
1fc39ec6ea784678b35ffa13,38.8060889,-77.0916438,2020-12-07 22:09:08,38333
86a67d2e4bef442b89f766b5,38.8058548,-77.0880819,2020-12-07 22:09:08,38470
560899f51a22469b80ece319,38.8046258,-77.0675039,2020-12-07 22:09:08,39488
a25466ecbf2b4e6e8363f676,38.8049769,-77.0657981,2020-12-07 22:09:08,39492
caabfbbfae9845d3a444404c,38.8063899,-77.0621073,2020-12-07 22:09:08,39537
039f292898584048a76c1ed5,38.8055288,-77.06406,2020-12-07 22:09:08,39545
1e05e38b443d479e81b93f3b,38.807435,-77.0603156,2020-12-07 22:09:08,39563
44f76271af074c5ca30ac4cf,38.8085135,-77.058878,2020-12-07 22:09:08,39584
9b18f7d88ffb4998b8ded782,38.8106119,-77.0567644,2020-12-07 22:09:08,39594
9ef2a3d7981e45edbff96d7f,38.7927121,-77.0340553,2023-07-28 5:13:46,42771
d909ff9fe97b49679f45cacf,38.7874008,-77.0230858,2019-08-26 17:56:25,43108
0fafdf7137bc4df0afd10174,38.7887689,-77.0270426,2019-08-26 17:56:25,43133
0b7fa6c15e7045ca8b73d5ca,38.7888708,-77.0269412,2014-05-23 21:06:13,43133
75a9a9609b5f4a07bc171579,38.7929013,-77.0276113,2023-07-28 5:13:46,43140
476376a10371418c9408db88,38.7928731,-77.0272103,2023-07-28 5:13:46,43140
4a05d9ad5b07432cae4b5f24,38.7932348,-77.0277334,2023-07-28 5:13:46,43141
ad8ef0f03edc46f8ba0801f8,38.7932907,-77.0268927,2023-07-28 5:13:46,43142
be7f9d2600004bebbb55c9fc,38.7929327,-77.0266457,2023-07-28 5:13:46,43143
